fips,county,state_abbr,state,long_name,sumlev,region,division,states,countys,crosswalk,region_name,division_name
1001,Autauga,AL,Alabama,Autauga AL,50,3,6,1,1,3-6-1-1,South,East South Central
1003,Baldwin,AL,Alabama,Baldwin AL,50,3,6,1,3,3-6-1-3,South,East South Central
1005,Barbour,AL,Alabama,Barbour AL,50,3,6,1,5,3-6-1-5,South,East South Central
1007,Bibb,AL,Alabama,Bibb AL,50,3,6,1,7,3-6-1-7,South,East South Central
1009,Blount,AL,Alabama,Blount AL,50,3,6,1,9,3-6-1-9,South,East South Central
1011,Bullock,AL,Alabama,Bullock AL,50,3,6,1,11,3-6-1-11,South,East South Central
1013,Butler,AL,Alabama,Butler AL,50,3,6,1,13,3-6-1-13,South,East South Central
1015,Calhoun,AL,Alabama,Calhoun AL,50,3,6,1,15,3-6-1-15,South,East South Central
1017,Chambers,AL,Alabama,Chambers AL,50,3,6,1,17,3-6-1-17,South,East South Central
1019,Cherokee,AL,Alabama,Cherokee AL,50,3,6,1,19,3-6-1-19,South,East South Central
1021,Chilton,AL,Alabama,Chilton AL,50,3,6,1,21,3-6-1-21,South,East South Central
1023,Choctaw,AL,Alabama,Choctaw AL,50,3,6,1,23,3-6-1-23,South,East South Central
1025,Clarke,AL,Alabama,Clarke AL,50,3,6,1,25,3-6-1-25,South,East South Central
1027,Clay,AL,Alabama,Clay AL,50,3,6,1,27,3-6-1-27,South,East South Central
1029,Cleburne,AL,Alabama,Cleburne AL,50,3,6,1,29,3-6-1-29,South,East South Central
1031,Coffee,AL,Alabama,Coffee AL,50,3,6,1,31,3-6-1-31,South,East South Central
1033,Colbert,AL,Alabama,Colbert AL,50,3,6,1,33,3-6-1-33,South,East South Central
1035,Conecuh,AL,Alabama,Conecuh AL,50,3,6,1,35,3-6-1-35,South,East South Central
1037,Coosa,AL,Alabama,Coosa AL,50,3,6,1,37,3-6-1-37,South,East South Central
1039,Covington,AL,Alabama,Covington AL,50,3,6,1,39,3-6-1-39,South,East South Central
1041,Crenshaw,AL,Alabama,Crenshaw AL,50,3,6,1,41,3-6-1-41,South,East South Central
1043,Cullman,AL,Alabama,Cullman AL,50,3,6,1,43,3-6-1-43,South,East South Central
1045,Dale,AL,Alabama,Dale AL,50,3,6,1,45,3-6-1-45,South,East South Central
1047,Dallas,AL,Alabama,Dallas AL,50,3,6,1,47,3-6-1-47,South,East South Central
1049,DeKalb,AL,Alabama,DeKalb AL,50,3,6,1,49,3-6-1-49,South,East South Central
1051,Elmore,AL,Alabama,Elmore AL,50,3,6,1,51,3-6-1-51,South,East South Central
1053,Escambia,AL,Alabama,Escambia AL,50,3,6,1,53,3-6-1-53,South,East South Central
1055,Etowah,AL,Alabama,Etowah AL,50,3,6,1,55,3-6-1-55,South,East South Central
1057,Fayette,AL,Alabama,Fayette AL,50,3,6,1,57,3-6-1-57,South,East South Central
1059,Franklin,AL,Alabama,Franklin AL,50,3,6,1,59,3-6-1-59,South,East South Central
1061,Geneva,AL,Alabama,Geneva AL,50,3,6,1,61,3-6-1-61,South,East South Central
1063,Greene,AL,Alabama,Greene AL,50,3,6,1,63,3-6-1-63,South,East South Central
1065,Hale,AL,Alabama,Hale AL,50,3,6,1,65,3-6-1-65,South,East South Central
1067,Henry,AL,Alabama,Henry AL,50,3,6,1,67,3-6-1-67,South,East South Central
1069,Houston,AL,Alabama,Houston AL,50,3,6,1,69,3-6-1-69,South,East South Central
1071,Jackson,AL,Alabama,Jackson AL,50,3,6,1,71,3-6-1-71,South,East South Central
1073,Jefferson,AL,Alabama,Jefferson AL,50,3,6,1,73,3-6-1-73,South,East South Central
1075,Lamar,AL,Alabama,Lamar AL,50,3,6,1,75,3-6-1-75,South,East South Central
1077,Lauderdale,AL,Alabama,Lauderdale AL,50,3,6,1,77,3-6-1-77,South,East South Central
1079,Lawrence,AL,Alabama,Lawrence AL,50,3,6,1,79,3-6-1-79,South,East South Central
1081,Lee,AL,Alabama,Lee AL,50,3,6,1,81,3-6-1-81,South,East South Central
1083,Limestone,AL,Alabama,Limestone AL,50,3,6,1,83,3-6-1-83,South,East South Central
1085,Lowndes,AL,Alabama,Lowndes AL,50,3,6,1,85,3-6-1-85,South,East South Central
1087,Macon,AL,Alabama,Macon AL,50,3,6,1,87,3-6-1-87,South,East South Central
1089,Madison,AL,Alabama,Madison AL,50,3,6,1,89,3-6-1-89,South,East South Central
1091,Marengo,AL,Alabama,Marengo AL,50,3,6,1,91,3-6-1-91,South,East South Central
1093,Marion,AL,Alabama,Marion AL,50,3,6,1,93,3-6-1-93,South,East South Central
1095,Marshall,AL,Alabama,Marshall AL,50,3,6,1,95,3-6-1-95,South,East South Central
1097,Mobile,AL,Alabama,Mobile AL,50,3,6,1,97,3-6-1-97,South,East South Central
1099,Monroe,AL,Alabama,Monroe AL,50,3,6,1,99,3-6-1-99,South,East South Central
1101,Montgomery,AL,Alabama,Montgomery AL,50,3,6,1,101,3-6-1-101,South,East South Central
1103,Morgan,AL,Alabama,Morgan AL,50,3,6,1,103,3-6-1-103,South,East South Central
1105,Perry,AL,Alabama,Perry AL,50,3,6,1,105,3-6-1-105,South,East South Central
1107,Pickens,AL,Alabama,Pickens AL,50,3,6,1,107,3-6-1-107,South,East South Central
1109,Pike,AL,Alabama,Pike AL,50,3,6,1,109,3-6-1-109,South,East South Central
1111,Randolph,AL,Alabama,Randolph AL,50,3,6,1,111,3-6-1-111,South,East South Central
1113,Russell,AL,Alabama,Russell AL,50,3,6,1,113,3-6-1-113,South,East South Central
1115,St. Clair,AL,Alabama,St. Clair AL,50,3,6,1,115,3-6-1-115,South,East South Central
1117,Shelby,AL,Alabama,Shelby AL,50,3,6,1,117,3-6-1-117,South,East South Central
1119,Sumter,AL,Alabama,Sumter AL,50,3,6,1,119,3-6-1-119,South,East South Central
1121,Talladega,AL,Alabama,Talladega AL,50,3,6,1,121,3-6-1-121,South,East South Central
1123,Tallapoosa,AL,Alabama,Tallapoosa AL,50,3,6,1,123,3-6-1-123,South,East South Central
1125,Tuscaloosa,AL,Alabama,Tuscaloosa AL,50,3,6,1,125,3-6-1-125,South,East South Central
1127,Walker,AL,Alabama,Walker AL,50,3,6,1,127,3-6-1-127,South,East South Central
1129,Washington,AL,Alabama,Washington AL,50,3,6,1,129,3-6-1-129,South,East South Central
1131,Wilcox,AL,Alabama,Wilcox AL,50,3,6,1,131,3-6-1-131,South,East South Central
1133,Winston,AL,Alabama,Winston AL,50,3,6,1,133,3-6-1-133,South,East South Central
2013,Aleutians East,AK,Alaska,Aleutians East AK,50,4,9,2,13,4-9-2-13,West,Pacific
2016,Aleutians West,AK,Alaska,Aleutians West AK,50,4,9,2,16,4-9-2-16,West,Pacific
